record_id,date,year,month,period_label,life_phase,journey_theme,role_context,activity_focus,technical_focus,time_invested_hours,practice_sessions,estimated_outputs_count,difficulty_score_1_5,confidence_score_1_5,stress_score_1_5,energy_score_1_5,support_score_1_5,motivation_score_1_5,skill_growth_score_1_5,outcome_score_1_5,ethics_awareness_score_1_5,impact_scope_score_1_5,key_challenge,coping_strategy,decision_area,moment_type,short_reflection,data_source_type,privacy_level
HGJ001,01/12/2018,2018,12,2018-12,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",14,6,1,4,2,4,3,3,4,2,3,2,2,Unclear future direction,Used self-study and reflection,Learning direction,reflection,Started economics coursework and adjusted to university learning.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ002,01/01/2019,2019,1,2019-01,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Unclear future direction,Used self-study and reflection,Learning direction,reflection,Built basic study discipline through economics readings.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ003,01/02/2019,2019,2,2019-02,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Practiced note-taking and exam preparation.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ004,01/03/2019,2019,3,2019-03,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Started connecting economic concepts with community issues.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ005,01/04/2019,2019,4,2019-04,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Improved comfort with structured academic tasks.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ006,01/05/2019,2019,5,2019-05,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",14,6,1,4,2,4,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,challenge,Faced pressure from heavy coursework and uncertainty.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ007,01/06/2019,2019,6,2019-06,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Used peer discussion and revision to keep learning.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ008,01/07/2019,2019,7,2019-07,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,3,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Started becoming more interested in evidence-based thinking.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ009,01/08/2019,2019,8,2019-08,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,3,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Practiced interpreting numbers and basic economic ideas.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ010,01/09/2019,2019,9,2019-09,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,4,3,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,challenge,Experienced slower progress but kept studying.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ011,01/10/2019,2019,10,2019-10,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",14,6,1,3,3,4,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Learned to handle academic stress more intentionally.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ012,01/11/2019,2019,11,2019-11,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,3,3,3,3,4,3,3,2,2,Academic adjustment,Used self-study and reflection,Learning direction,steady,Prepared for transition after completing core coursework.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ013,01/12/2019,2019,12,2019-12,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",14,6,1,4,3,4,3,3,4,3,3,2,2,Unclear future direction,Used self-study and reflection,Learning direction,reflection,Reflected on education disruption and future direction.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ014,01/01/2020,2020,1,2020-01,Economics foundation and early direction,Education,Undergraduate learner,Economics and academic foundation,"Economics, study planning, basic quantitative thinking",18,8,1,3,2,3,3,3,4,3,3,2,2,Unclear future direction,Used self-study and reflection,Learning direction,reflection,Closed this phase with stronger interest in analytical work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ015,01/02/2020,2020,2,2020-02,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",20,9,1,3,2,3,3,2,4,2,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Self-directed learning after formal education disruption.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ016,01/03/2020,2020,3,2020-03,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",22,10,1,3,2,3,3,2,4,2,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Practiced English and basic computer skills.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ017,01/04/2020,2020,4,2020-04,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",16,11,1,3,2,3,3,2,4,2,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Explored how learning could support community work.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ018,01/05/2020,2020,5,2020-05,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",18,7,1,4,2,4,2,2,4,2,3,2,2,Limited structure,Set small learning goals,Learning strategy,challenge,Faced low structure and motivation challenges.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ019,01/06/2020,2020,6,2020-06,Self-directed learning and resilience building,Self-learning,Independent learner,"English, digital literacy, and career exploration","English writing, Excel basics, online learning",20,8,1,3,2,3,3,2,4,2,3,2,2,Limited structure,Set small learning goals,Learning strategy,steady,Built a habit of learning from online resources.,resume_and_memory_based_estimate,anonymized_personal_growth_data
